,Target
Application mode,-0.21202477296659522
Displaced,0.11398557002006574
Debtor,-0.2409989028231076
Tuition fees up to date,0.4098267546786874
Gender,-0.22926957430635375
Scholarship holder,0.29759529139821356
Age at enrollment,-0.24343751143960052
Curricular units 1st sem (enrolled),0.15597396850095144
Curricular units 1st sem (approved),0.5291232554190112
Curricular units 1st sem (grade),0.4852073909050093
Curricular units 2nd sem (enrolled),0.17584682400648632
Curricular units 2nd sem (approved),0.6241574639770566
Curricular units 2nd sem (grade),0.5668272799035226
Target,1.0
